"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-1185-1-3p",0.665598210615469,9.63459349797137,16.2542289542073,1.37329444361701e-57,6.68254885510061e-57,119.511981816769,TRUE
"hsa-miR-6792-3p",0.531195043848975,8.10901119012328,16.1711038935712,4.88918191107043e-57,2.35805676241892e-56,118.261593869269,TRUE
"hsa-miR-6752-5p",2.08046210319671,8.67641239039829,16.1233092601125,1.01894244794278e-56,4.87125994849839e-56,117.457895432218,TRUE
"hsa-miR-6777-5p",0.631654929171418,8.44465209687798,16.0975113705449,1.4982889773347e-56,7.10058689258619e-56,117.070788429761,TRUE
"hsa-miR-197-5p",0.413957309700068,9.60867177884827,16.0777219585193,2.02217507625275e-56,9.50073634963576e-56,116.825298808055,FALSE
"hsa-miR-5787",2.90274639160676,10.9753254280438,16.061910718757,2.58386272245497e-56,1.20359417413501e-55,117.056147642427,TRUE
"hsa-miR-6090",2.09558437675016,13.0299017028661,16.0458090662663,3.27959149105697e-56,1.51472657849665e-55,116.943125342516,TRUE
"hsa-miR-4534",-0.625116097668769,9.27768727511547,-15.8543236436281,5.86443767448211e-55,2.68581389293508e-54,113.503757628476,TRUE
"hsa-miR-1914-5p",-0.489419264225824,8.1287738019434,-15.8468722027352,6.5568723484828e-55,2.97791285826927e-54,113.538826835574,FALSE
"hsa-miR-4327",0.693849594339499,10.0748029530656,15.8174162205375,1.01884405121185e-54,4.58900832983851e-54,113.037257678782,TRUE
"hsa-miR-4516",-1.56853541007143,13.1566071464557,-15.7926221117551,1.47564984288161e-54,6.59204233090556e-54,113.138632165012,TRUE
"hsa-miR-920",0.428063404771043,8.2532999633346,15.7825471034947,1.71510805215932e-54,7.59946250753519e-54,112.405104074024,FALSE
"hsa-miR-6086",0.473016371565389,8.12471017532743,15.7628860810351,2.29949767235939e-54,1.01066631567409e-53,112.150313082253,FALSE
"hsa-miR-6087",3.15802625203117,9.8133404214586,15.761129356428,2.37511631862658e-54,1.03555071492119e-53,112.414757980666,TRUE
"hsa-miR-6800-3p",0.636795622878599,8.0768984231178,15.7283290723576,3.84695014760336e-54,1.66395859559034e-53,111.62423747984,TRUE
"hsa-miR-4685-5p",0.411384363827805,8.13829534265631,15.6641965885233,9.97076170116036e-54,4.27879143868693e-53,110.687336693856,FALSE
