mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-5572,3.229,5.0187,-1.7896,0.054757,-32.683,3160.0,4.301781304517682e-202,204,1.1492503975304592e-201,True
hsa-miR-6792-5p,4.0342,5.173,-1.1388,0.034127,-33.3695,2466.3,8.248179921767904e-202,205,2.1928088084700037e-201,True
hsa-miR-6722-5p,3.565,4.7931,-1.228,0.036333,-33.7987,2175.2,1.2193515941317524e-201,206,3.225954460202937e-201,True
hsa-miR-4749-5p,5.311,6.7197,-1.4087,0.042771,-32.9368,2813.7,1.6290811136756013e-201,207,4.28912660363866e-201,True
hsa-miR-1227-5p,6.1959,8.0133,-1.8174,0.055317,-32.8546,2860.0,3.8764580441132444e-201,208,1.0157065548277492e-200,True
hsa-miR-6732-3p,3.2862,4.645,-1.3588,0.04125,-32.9405,2771.1,4.1941353516627586e-201,209,1.0936860127541643e-200,True
hsa-miR-6741-3p,3.7115,4.8444,-1.1329,0.034192,-33.1324,2586.3,5.876173066335892e-201,210,1.525006819596696e-200,True
hsa-miR-296-3p,3.5549,4.9486,-1.3937,0.040859,-34.1109,1968.6,8.917554455172333e-201,211,2.30334937349238e-200,True
hsa-miR-1976,3.3641,4.8024,-1.4384,0.043378,-33.1586,2537.6,1.2775974870031063e-200,212,3.2843897661164765e-200,True
hsa-miR-6779-5p,4.64,5.9312,-1.2913,0.039421,-32.7557,2886.8,2.2379691862093902e-200,213,5.726259185371445e-200,True
hsa-miR-125b-1-3p,3.402,4.645,-1.243,0.037996,-32.7148,2888.1,5.764439866792124e-200,214,1.468046601589583e-199,True
hsa-miR-6801-3p,3.7036,4.8116,-1.108,0.03342,-33.1529,2429.1,3.729085633736856e-199,215,9.452798466914356e-199,True
hsa-miR-1914-3p,4.5506,5.8753,-1.3247,0.041231,-32.1285,3419.2,3.739320408271205e-198,216,9.434859363462068e-198,True
hsa-miR-92a-3p,3.3748,4.9439,-1.5691,0.045646,-34.3749,1713.3,2.1305959793066375e-197,217,5.3510359848945504e-197,True
hsa-miR-4276,3.5548,4.752,-1.1972,0.036819,-32.5165,2746.7,1.6784021709511092e-196,218,4.196005427377773e-196,True
hsa-miR-5001-5p,5.3942,6.5579,-1.1636,0.035857,-32.4522,2792.3,2.606624222557597e-196,219,6.486804572118221e-196,True
hsa-miR-6885-3p,3.6755,4.7654,-1.0899,0.033263,-32.7658,2465.8,8.616096958916596e-196,220,2.1344422011861565e-195,True
hsa-miR-874-5p,3.2905,4.6938,-1.4033,0.042418,-33.083,2214.4,2.212701819396186e-195,221,5.456662857786975e-195,True
hsa-miR-139-3p,3.3893,4.6647,-1.2754,0.038911,-32.7783,2392.1,5.829764411139447e-195,222,1.431180902734684e-194,True
hsa-miR-3675-3p,3.8835,4.8858,-1.0023,0.030773,-32.5715,2530.6,1.1824423221850123e-194,223,2.8898254062369135e-194,True
hsa-miR-6759-5p,3.3599,4.6703,-1.3104,0.039981,-32.7758,2357.4,1.8026799683068786e-194,224,4.385984744318075e-194,True
hsa-miR-4726-5p,4.4198,5.5434,-1.1237,0.034813,-32.2774,2740.3,5.322760120570894e-194,225,1.2892907847605053e-193,True
hsa-miR-6763-5p,4.3826,5.7321,-1.3495,0.042248,-31.9427,3108.1,7.222729871089069e-194,226,1.7417645043113019e-193,True
hsa-miR-6825-3p,3.57,4.8196,-1.2496,0.03843,-32.5169,2494.4,1.1221216229595262e-193,227,2.6940805485151624e-193,True
hsa-miR-602,3.0658,4.4914,-1.4256,0.044085,-32.337,2586.1,5.951396789505729e-193,228,1.422592653631852e-192,True
hsa-miR-6802-3p,3.3455,4.6215,-1.276,0.038991,-32.7244,2234.3,3.1286687699966127e-192,229,7.445958426411153e-192,True
hsa-miR-6870-5p,4.4168,5.9545,-1.5377,0.048422,-31.7562,3143.4,3.404410905971833e-192,230,8.066973668498475e-192,True
hsa-miR-6511b-5p,3.4696,4.7368,-1.2673,0.038707,-32.7406,2220.1,3.5433579535238114e-192,231,8.359870496408993e-192,True
hsa-miR-6741-5p,4.7601,5.9996,-1.2395,0.038565,-32.1397,2687.3,4.6201745280219934e-192,232,1.0853427231775804e-191,True
hsa-miR-210-5p,3.4722,4.8209,-1.3487,0.041442,-32.5451,2311.7,1.3433123879618005e-191,233,3.1420826242024946e-191,True
hsa-miR-4758-3p,4.0993,5.0717,-0.9724,0.030263,-32.1309,2647.2,1.4890497743868855e-191,234,3.468086012995096e-191,True
hsa-miR-4433a-3p,1.5438,4.0262,-2.4825,0.07874,-31.5273,3273.4,9.457711628059927e-191,235,2.1933841860819832e-190,True
hsa-miR-6835-5p,3.7595,4.8182,-1.0587,0.032642,-32.433,2320.1,1.264256257855289e-190,236,2.919574832759036e-190,True
hsa-miR-6840-3p,5.4175,6.9317,-1.5142,0.046851,-32.3199,2387.9,2.0647131603917951e-190,237,4.747969081913622e-190,True
hsa-miR-4485-5p,1.5239,3.7156,-2.1917,0.06981,-31.3954,3175.1,1.1444559932789831e-188,238,2.6207080518363267e-188,True
hsa-miR-6761-3p,3.8239,4.8024,-0.9785,0.030717,-31.8549,2524.5,1.806571405348402e-187,239,4.119587514288197e-187,True
hsa-miR-6722-3p,5.1974,6.8669,-1.6696,0.052402,-31.8609,2507.9,2.419532245411429e-187,240,5.49435447395512e-187,True
hsa-miR-6511a-3p,3.4173,4.6829,-1.2655,0.039618,-31.9432,2432.4,2.815299556357473e-187,241,6.366548789273124e-187,True
hsa-miR-30b-3p,3.3304,4.6034,-1.273,0.040459,-31.4629,2793.3,2.95308927390618e-186,242,6.650552290408546e-186,True
hsa-miR-4476,3.803,5.3232,-1.5201,0.048392,-31.4128,2818.5,5.6309915929142616e-186,243,1.2629178675466143e-185,True
hsa-miR-342-5p,3.3842,4.7248,-1.3406,0.041198,-32.5401,1928.3,1.6412695567914308e-185,244,3.665950444472663e-185,True
hsa-miR-449b-3p,3.2043,4.5413,-1.337,0.042222,-31.6662,2513.5,1.7316414397912592e-185,245,3.852018713005046e-185,True
hsa-miR-3620-5p,5.048,6.406,-1.3579,0.04382,-30.989,3320.4,2.0016809338942483e-185,246,4.4346183291559564e-185,True
hsa-miR-4763-5p,3.8308,4.8965,-1.0657,0.033843,-31.4893,2666.1,2.5454787383591404e-185,247,5.616542155488792e-185,True
hsa-miR-6797-3p,3.4978,4.6375,-1.1398,0.036231,-31.4587,2645.0,8.295830853955247e-185,248,1.8230757320183907e-184,True
hsa-miR-8064,3.6733,4.6832,-1.0098,0.032019,-31.5388,2528.1,2.1597133195967268e-184,249,4.72708337020167e-184,True
hsa-miR-637,4.1467,4.9604,-0.8137,0.025749,-31.6013,2460.5,2.924354984564581e-184,250,6.375093866350787e-184,True
hsa-miR-4634,5.0575,6.6968,-1.6393,0.053585,-30.5916,3814.3,5.338962453478234e-184,251,1.1592567877074252e-183,True
hsa-miR-4525,4.8418,6.4179,-1.5761,0.049478,-31.8549,2223.6,9.156725966290317e-184,252,1.980323671281041e-183,True
hsa-miR-4478,3.76,4.9046,-1.1446,0.036507,-31.3532,2643.3,9.658074727419497e-184,253,2.080494358278113e-183,True
hsa-miR-3154,4.2304,5.2998,-1.0694,0.034839,-30.6963,3385.5,8.946818232553332e-183,254,1.9196913136777822e-182,True
hsa-miR-1247-3p,4.3456,5.4525,-1.1069,0.035441,-31.2319,2658.6,1.098640418601469e-182,255,2.3480746201482376e-182,True
hsa-miR-4535,3.345,4.6585,-1.3135,0.041607,-31.5699,2304.6,4.208214011792769e-182,256,8.9588931110432e-182,True
hsa-miR-6762-5p,5.107,6.2734,-1.1665,0.036713,-31.7724,2148.4,6.150123673831288e-182,257,1.3042091059292032e-181,True
hsa-miR-4738-3p,3.4036,4.6436,-1.24,0.039224,-31.6126,2241.0,1.0796705367696176e-181,258,2.280699389687758e-181,True
hsa-miR-6826-5p,4.194,5.4255,-1.2315,0.039343,-31.3016,2420.2,6.86995572831926e-181,259,1.445608444762161e-180,True
hsa-miR-6794-5p,5.2632,6.6035,-1.3403,0.043669,-30.6928,3037.6,1.977771355272869e-180,260,4.145713033168129e-180,True
hsa-miR-6127,3.4976,4.7128,-1.2152,0.038906,-31.2353,2408.0,4.1240845708761585e-180,261,8.611594218879334e-180,True
hsa-miR-6799-5p,4.8741,6.7456,-1.8715,0.060736,-30.8139,2792.8,9.92244519902526e-180,262,2.064020089110216e-179,True
hsa-miR-4743-5p,3.8958,4.8216,-0.9258,0.02983,-31.037,2534.4,1.5490202117422593e-179,263,3.209946826614188e-179,True
hsa-miR-3619-3p,4.3402,5.8476,-1.5074,0.048704,-30.9494,2593.7,2.8787434261965315e-179,264,5.9428604821102635e-179,True
hsa-miR-5196-5p,3.7042,5.0598,-1.3557,0.04369,-31.0286,2405.8,4.313212256581843e-178,265,8.870568603158885e-178,True
hsa-miR-6880-5p,3.9957,5.5219,-1.5262,0.049855,-30.6139,2829.9,4.8692439659324824e-178,266,9.976458501628582e-178,True
hsa-miR-6754-3p,3.6823,4.7058,-1.0235,0.033316,-30.721,2700.7,5.226531575463986e-178,267,1.0668388421827238e-177,True
hsa-miR-1915-5p,3.5095,4.6376,-1.1281,0.03669,-30.7472,2664.5,6.096556968384707e-178,268,1.2397849058842034e-177,True
hsa-miR-6822-5p,3.4765,4.7103,-1.2337,0.039788,-31.0079,2276.8,2.0996797349800424e-176,269,4.253997976074807e-176,True
hsa-miR-3188,4.6821,5.6656,-0.9835,0.032507,-30.2543,3089.9,2.4450795032377923e-176,270,4.935438256535543e-176,True
hsa-miR-4513,3.6937,4.97,-1.2763,0.041383,-30.8417,2391.9,3.835821264649659e-176,271,7.71410549532865e-176,True
hsa-miR-6819-5p,4.5297,6.1154,-1.5857,0.051838,-30.5897,2616.1,5.966611334674258e-176,272,1.1955158740431877e-175,True
hsa-miR-6777-3p,3.9812,4.9493,-0.9681,0.031764,-30.4784,2702.7,1.2516737990530117e-175,273,2.4987627123952063e-175,True
hsa-miR-6845-5p,5.9754,7.6031,-1.6277,0.053918,-30.1882,3055.0,1.9685147541808092e-175,274,3.915476427111464e-175,True
hsa-miR-2110,3.725,4.8097,-1.0847,0.035813,-30.2874,2907.6,2.2327128702668908e-175,275,4.424830961074384e-175,True
hsa-miR-6124,4.6942,5.9753,-1.2811,0.042611,-30.0658,3148.4,8.29088606986394e-175,276,1.6371496043753068e-174,True
hsa-miR-1587,3.6885,4.8085,-1.12,0.036896,-30.3548,2733.3,1.1420670902868856e-174,277,2.247027307604161e-174,True
hsa-miR-8069,6.2286,9.6826,-3.454,0.11355,-30.4183,2458.1,9.046080778647226e-173,278,1.7734223109218483e-172,True
hsa-miR-6862-3p,3.544,4.7669,-1.2229,0.040099,-30.4963,2364.8,1.5108619957979428e-172,279,2.9513254039780606e-172,True
hsa-miR-4539,3.5383,4.7028,-1.1645,0.038253,-30.4413,2387.4,2.9026070747254e-172,280,5.649717341876225e-172,True
hsa-miR-1237-3p,4.0267,4.9703,-0.9436,0.031659,-29.8035,3159.7,3.208159262069344e-172,281,6.222230597251931e-172,True
hsa-miR-4435,3.3163,4.7763,-1.46,0.049458,-29.5197,3649.5,6.159973570848133e-172,282,1.1904913461390895e-171,True
hsa-miR-1273f,3.756,4.9528,-1.1968,0.039494,-30.3036,2479.3,7.062411203426895e-172,283,1.3600756557836247e-171,True
hsa-miR-1236-3p,3.9065,4.8177,-0.9112,0.030531,-29.8467,3036.7,7.184845616464078e-172,284,1.378781993300325e-171,True
hsa-miR-6859-3p,3.3363,4.5967,-1.2604,0.041492,-30.3766,2399.3,9.012613284937673e-172,285,1.7234646457161514e-171,True
hsa-miR-3679-3p,4.2619,5.2702,-1.0083,0.033985,-29.6689,3307.1,1.0135148995548706e-171,286,1.9313483225783375e-171,True
hsa-miR-5088-5p,3.4076,4.5656,-1.158,0.038785,-29.8572,2886.4,6.189172672660719e-171,287,1.1752958559582202e-170,True
hsa-miR-4640-5p,4.7926,6.0983,-1.3057,0.044495,-29.3442,3474.2,2.744188331217066e-169,288,5.192995279560073e-169,True
hsa-miR-4707-5p,4.7,6.1067,-1.4067,0.047468,-29.6347,2957.4,3.1901531040842803e-169,289,6.016032670331948e-169,True
hsa-miR-5096,3.6287,4.7382,-1.1095,0.036615,-30.3035,2207.6,5.772454142125172e-169,290,1.0848232784338684e-168,True
hsa-miR-574-3p,3.644,4.6737,-1.0297,0.034262,-30.0548,2415.4,7.185865209477969e-169,291,1.3458063708472485e-168,True
hsa-miR-4731-5p,3.9235,5.127,-1.2035,0.040243,-29.9067,2483.0,4.1574515912726755e-168,292,7.759627113847972e-168,True
hsa-miR-6893-5p,4.7999,6.2246,-1.4247,0.049306,-28.8943,3848.1,2.55987762387232e-166,293,4.7615471160764996e-166,True
hsa-miR-6763-3p,3.6281,4.7014,-1.0733,0.036266,-29.5943,2531.7,1.4670850956466134e-165,294,2.719596520841511e-165,True
hsa-miR-6891-5p,4.4297,5.7733,-1.3435,0.046303,-29.0159,3289.6,5.098094562813462e-165,295,9.41851368384182e-165,True
hsa-miR-4769-3p,3.2525,4.529,-1.2765,0.043039,-29.6584,2350.8,1.7459003940404603e-164,296,3.2145801174055776e-164,True
hsa-miR-625-3p,3.4571,4.6038,-1.1467,0.038789,-29.5636,2333.9,1.984118556878761e-163,297,3.6408909545418346e-163,True
hsa-miR-3197,5.3817,7.7005,-2.3188,0.07967,-29.1057,2854.8,2.5465681409758652e-163,298,4.6573142175565317e-163,True
hsa-miR-4787-5p,8.8669,11.0836,-2.2166,0.077163,-28.7268,3540.8,2.5608086848402944e-163,299,4.6676947599931783e-163,True
hsa-miR-6754-5p,3.9203,4.7691,-0.8488,0.029014,-29.2569,2522.3,2.8965780875506964e-162,300,5.262116859050432e-162,True
hsa-miR-6802-5p,5.4939,6.8438,-1.3499,0.046505,-29.0272,2483.8,9.135116068940751e-160,301,1.6540326437118636e-159,True
hsa-miR-6892-5p,3.611,4.6562,-1.0452,0.036044,-28.9964,2482.8,1.8155382328015302e-159,302,3.27638522144647e-159,True
hsa-miR-6766-5p,4.0946,5.131,-1.0364,0.035637,-29.0819,2367.9,2.949850512401359e-159,303,5.305836730226867e-159,True
hsa-miR-4492,5.488,7.5856,-2.0975,0.073833,-28.4091,3215.0,1.3683940037324896e-158,304,2.4532063553756804e-158,True
hsa-miR-4728-5p,4.6081,5.8921,-1.284,0.044598,-28.7896,2510.6,9.485665882567628e-158,305,1.6949796413112648e-157,True
hsa-miR-4728-3p,3.6812,4.7703,-1.0891,0.037853,-28.7712,2397.5,1.2481384878495988e-156,306,2.2229917512353966e-156,True
hsa-miR-3175,3.8059,4.7994,-0.9935,0.03509,-28.3122,2952.0,3.244967527711932e-156,307,5.760610106198707e-156,True
hsa-miR-1199-5p,3.4313,4.6518,-1.2205,0.042564,-28.6756,2262.4,1.601647104656396e-154,308,2.83408335077187e-154,True
hsa-miR-6865-3p,4.0006,4.8601,-0.8595,0.030414,-28.2596,2681.0,5.2197184135477956e-154,309,9.206299467260676e-154,True
hsa-miR-4448,3.8505,5.0129,-1.1623,0.040803,-28.4866,2209.4,2.6876463689994357e-152,310,4.725055713240943e-152,True
hsa-miR-1249-5p,2.1442,4.5377,-2.3935,0.085828,-27.8872,2959.0,3.7161596571869585e-152,311,6.512241199893545e-152,True
hsa-miR-940,4.2964,5.2197,-0.9233,0.033117,-27.8801,2895.5,9.851314807788366e-152,312,1.72082261866816e-151,True
hsa-miR-4505,6.0173,7.4584,-1.4411,0.051642,-27.905,2738.7,4.956402454817529e-151,313,8.630157628995378e-151,True
hsa-miR-874-3p,3.8687,4.7762,-0.9075,0.032633,-27.8096,2872.1,6.307661139597672e-151,314,1.0948010576690228e-150,True
hsa-miR-1275,3.0272,4.8053,-1.778,0.064036,-27.7661,2864.8,1.80076779231307e-150,315,3.115614116859121e-150,True
hsa-miR-6769a-3p,3.9082,4.7772,-0.869,0.031174,-27.8751,2680.2,2.23841748765237e-150,316,3.8605618062358913e-150,True
hsa-miR-7109-5p,4.7001,5.9591,-1.259,0.045524,-27.6557,3014.6,3.13513333981638e-150,317,5.390055741955606e-150,True
hsa-miR-1908-3p,3.2024,4.5673,-1.365,0.04889,-27.9191,2495.6,1.6462633958852753e-149,318,2.821426260243632e-149,True
hsa-miR-4433a-5p,1.7397,3.6805,-1.9408,0.070269,-27.6195,2856.2,4.971854029551921e-149,319,8.494233373372404e-149,True
hsa-miR-6812-5p,3.5023,4.7737,-1.2714,0.045752,-27.7891,2302.1,8.266232514245554e-147,320,1.407842725082446e-146,True
hsa-miR-6766-3p,3.8558,4.8397,-0.9839,0.035914,-27.3973,2802.7,1.24899658971915e-146,321,2.1205705339468436e-146,True
hsa-miR-3194-5p,3.5735,4.5617,-0.9882,0.036472,-27.0952,3352.8,2.264754064173677e-146,322,3.8332017545796706e-146,True
hsa-miR-320a,3.7116,4.7696,-1.058,0.03841,-27.545,2405.6,2.0807417689004522e-145,323,3.5108491147081936e-145,True
hsa-miR-6861-5p,4.7695,5.9273,-1.1578,0.042209,-27.4314,2545.2,2.3341243412730486e-145,324,3.9262276728204054e-145,True
hsa-miR-4651,6.8301,8.5574,-1.7273,0.064112,-26.9423,3287.2,1.2372439824735142e-144,325,2.0747629859940468e-144,True
hsa-miR-6850-5p,6.8579,8.9085,-2.0506,0.07624,-26.8967,3369.7,1.598783364289903e-144,326,2.6728126795644084e-144,True
hsa-miR-5195-3p,3.9588,5.1667,-1.2079,0.044195,-27.3307,2529.1,2.5245871655143585e-144,327,4.2076452758572644e-144,True
hsa-miR-6165,3.9887,4.9226,-0.9339,0.03429,-27.2356,2551.0,1.3505928687272148e-143,328,2.244125345903451e-143,True
hsa-miR-5008-5p,3.5934,4.9436,-1.3502,0.048571,-27.7984,1950.3,1.5046967832473034e-143,329,2.492582817233375e-143,True
hsa-miR-6825-5p,3.7779,5.2367,-1.4588,0.054901,-26.5712,3979.9,2.3892538893555444e-143,330,3.945888999087187e-143,True
hsa-miR-6750-3p,3.4571,4.552,-1.095,0.040274,-27.1878,2503.0,7.66882089632537e-143,331,1.2626910539266847e-142,True
hsa-miR-6805-5p,5.7484,8.1131,-2.3646,0.088886,-26.6029,3644.1,1.1779955055554693e-142,332,1.933757682312442e-142,True
hsa-miR-3917,4.0427,4.9829,-0.9403,0.034919,-26.9269,2861.3,1.539582314987679e-142,333,2.519736821826682e-142,True
hsa-miR-4687-3p,5.748,7.3923,-1.6443,0.061637,-26.6775,3302.2,3.688525290924853e-142,334,6.018701447766601e-142,True
hsa-miR-6890-5p,3.9488,4.7271,-0.7783,0.028663,-27.1539,2438.0,4.336224445842066e-142,335,7.054454695474407e-142,True
hsa-miR-4758-5p,5.3061,6.6894,-1.3833,0.050984,-27.132,2438.5,6.79926312038015e-142,336,1.1028566668473754e-141,True
hsa-miR-4697-5p,4.8583,6.2504,-1.3921,0.051865,-26.8401,2701.2,7.182685132568249e-141,337,1.1615915125370018e-140,True
hsa-miR-6798-3p,3.4236,4.5289,-1.1053,0.041246,-26.7981,2730.4,1.204642318979713e-140,338,1.942396638591549e-140,True
hsa-miR-7160-5p,3.6642,4.5988,-0.9345,0.034816,-26.8418,2607.0,2.4415572393645887e-140,339,3.9252173907188813e-140,True
hsa-miR-8072,8.0269,10.5602,-2.5332,0.095011,-26.6626,2660.8,5.1739666058163074e-139,340,8.293564118146728e-139,True
hsa-miR-6808-5p,4.2236,5.6723,-1.4487,0.054533,-26.5662,2802.6,6.8890836619533e-139,341,1.1010412304294864e-138,True
hsa-miR-4450,3.5461,4.6969,-1.1508,0.043645,-26.368,3058.9,3.0348993651914436e-138,342,4.836316239851862e-138,True
hsa-miR-4750-5p,4.0907,5.135,-1.0443,0.039682,-26.3155,2914.9,4.068503243439257e-137,343,6.464531392636721e-137,True
hsa-miR-1470,3.8007,4.7229,-0.9223,0.035295,-26.1301,3117.8,2.8774982204593387e-136,344,4.558827122530057e-136,True
hsa-miR-197-5p,5.1981,6.1391,-0.9411,0.035893,-26.2192,2899.0,3.729762691417762e-136,345,5.89194396180487e-136,True
hsa-miR-4429,4.1917,5.1966,-1.0049,0.038396,-26.1717,2714.3,7.995628991993831e-135,346,1.259427110010589e-134,True
hsa-miR-6776-5p,3.5282,4.58,-1.0518,0.040139,-26.2046,2536.9,3.729554775764179e-134,347,5.857658077208869e-134,True
hsa-miR-939-3p,3.6495,4.5646,-0.915,0.03537,-25.8699,3109.0,8.143580132012292e-134,348,1.2753595321685917e-133,True
hsa-miR-4646-3p,3.2833,4.4024,-1.119,0.043383,-25.7943,2724.5,1.8567063287431832e-131,349,2.8994411150860596e-131,True
hsa-miR-665,4.7031,5.5839,-0.8808,0.034721,-25.3685,3709.7,4.618502524846193e-131,350,7.191668217260501e-131,True
hsa-miR-1229-3p,3.7766,4.6975,-0.9209,0.036102,-25.5088,2939.3,7.9124731835977e-130,351,1.2285748960287027e-129,True
hsa-miR-6746-5p,4.7024,5.5192,-0.8168,0.032021,-25.5078,2939.8,8.0456831609853e-130,352,1.2457094666866446e-129,True
hsa-miR-3195,5.0706,6.1587,-1.0882,0.043257,-25.1555,3695.9,4.975803080209995e-129,353,7.682188891542343e-129,True
hsa-miR-4516,7.3482,10.2841,-2.9358,0.115508,-25.4168,2418.9,1.645099784100413e-126,354,2.5327101195896184e-126,True
hsa-miR-6821-5p,5.2765,6.8412,-1.5647,0.062288,-25.1207,2965.0,2.0311320607801464e-126,355,3.118216825704732e-126,True
hsa-miR-4685-5p,3.7538,4.6125,-0.8587,0.03397,-25.2789,2607.5,2.7332117962376746e-126,356,4.184270867835766e-126,True
hsa-miR-6515-5p,3.7201,4.6858,-0.9657,0.037817,-25.535,2186.5,4.3285588462821633e-126,357,6.608024009030193e-126,True
hsa-miR-4294,6.2767,7.9735,-1.6968,0.068986,-24.597,3990.3,1.655739124118111e-124,358,2.5206084431406995e-124,True
hsa-miR-149-3p,5.9819,7.4774,-1.4954,0.060899,-24.5559,3619.9,2.7232551727621965e-123,359,4.1341896076752006e-123,True
hsa-miR-6775-5p,5.4528,6.8164,-1.3635,0.054677,-24.938,2584.0,3.505861083223273e-123,360,5.307484139879677e-123,True
hsa-miR-4763-3p,5.1136,6.7346,-1.621,0.065223,-24.8527,2531.0,3.4830805425048654e-122,361,5.25839029270125e-122,True
hsa-miR-6756-5p,5.2613,6.511,-1.2497,0.050467,-24.7633,2609.6,8.956861007822359e-122,362,1.3484776931666258e-121,True
hsa-miR-6886-3p,3.5615,4.5626,-1.0011,0.040777,-24.5496,2758.8,1.5359902290412451e-120,363,2.3061010325825855e-120,True
hsa-miR-6729-5p,7.6084,9.8964,-2.288,0.09462,-24.1805,3609.3,7.54644554390639e-120,364,1.1298936322607094e-119,True
hsa-miR-4646-5p,3.5218,4.62,-1.0981,0.044248,-24.8176,2103.8,1.8017563590803577e-119,365,2.690293741640534e-119,True
hsa-miR-7851-3p,3.7311,4.6867,-0.9556,0.039682,-24.0802,3360.9,2.483181558651769e-118,366,3.697633741708235e-118,True
hsa-miR-3185,3.9528,5.4378,-1.485,0.060925,-24.3737,2197.3,2.421025133088155e-116,367,3.595255306629549e-116,True
hsa-miR-920,3.9039,4.7155,-0.8116,0.033762,-24.0384,2744.9,4.880798165969197e-116,368,7.228355979492424e-116,True
hsa-miR-6765-5p,6.4229,8.1824,-1.7595,0.074318,-23.6748,3898.9,6.867043095783253e-116,369,1.0142380724124318e-115,True
hsa-miR-3151-5p,3.5774,4.5326,-0.9552,0.040057,-23.8463,2965.4,3.9458532139110463e-115,370,5.812135139409514e-115,True
hsa-miR-8073,4.2704,5.1953,-0.9249,0.038368,-24.1063,2354.9,6.089233809001161e-115,371,8.94510087845184e-115,True
hsa-miR-6795-5p,4.0775,4.9999,-0.9224,0.038711,-23.8279,2722.7,3.830849203432174e-114,372,5.6124000426627286e-114,True
hsa-miR-6076,4.4067,5.6478,-1.2411,0.052899,-23.4623,3917.2,5.142202380166921e-114,373,7.513405622495902e-114,True
hsa-miR-629-3p,3.4908,4.5766,-1.0858,0.04535,-23.9433,2301.6,2.594546090442215e-113,374,3.780822511473281e-113,True
hsa-miR-4689,5.5865,6.8522,-1.2657,0.053886,-23.4882,3403.0,3.4553383331332696e-113,375,5.0217583774870185e-113,True
hsa-miR-6858-5p,5.5286,6.6259,-1.0973,0.04628,-23.7108,2631.1,8.453415029724795e-113,376,1.2252955295744715e-112,True
hsa-miR-7108-3p,3.8546,4.7071,-0.8525,0.036329,-23.4664,3005.3,5.856719762400887e-112,377,8.46661079710473e-112,True
hsa-miR-6738-5p,4.7669,5.5518,-0.7849,0.033603,-23.3576,3067.8,3.37855999393434e-111,378,4.871204224058771e-111,True
hsa-miR-6796-3p,3.7778,4.6701,-0.8923,0.038384,-23.2464,3219.4,1.2361682343198135e-110,379,1.777603397636671e-110,True
hsa-miR-6797-5p,3.7634,4.737,-0.9737,0.041852,-23.2644,3037.3,2.6057043904222085e-110,380,3.737128665210799e-110,True
hsa-miR-296-5p,5.0265,5.7911,-0.7646,0.033325,-22.9425,3714.5,4.769368478565313e-109,381,6.822324989023872e-109,True
hsa-miR-4723-5p,5.2162,6.3826,-1.1664,0.050967,-22.8852,3911.2,6.883031845268443e-109,382,9.820032344689271e-109,True
hsa-miR-6717-5p,3.8326,4.9339,-1.1013,0.047048,-23.4068,2305.2,6.933825630673056e-109,383,9.86667093659743e-109,True
hsa-miR-548q,3.6918,4.6068,-0.915,0.039688,-23.054,3036.4,1.6620406781579274e-108,384,2.3588858583231e-108,True
hsa-miR-6894-3p,3.7519,4.6363,-0.8843,0.038516,-22.96,3049.3,9.714945122934691e-108,385,1.3752324914284172e-107,True
hsa-miR-6790-3p,3.6881,4.5366,-0.8485,0.037052,-22.8999,3210.2,1.2545789367286537e-107,386,1.7713614521168817e-107,True
hsa-miR-6879-5p,5.5872,6.9002,-1.3131,0.05754,-22.8202,3313.9,3.503377663602273e-107,387,4.933697226519997e-107,True
hsa-miR-451a,3.6862,4.7658,-1.0795,0.046283,-23.3246,1898.6,5.129362811163434e-106,388,7.204903948670287e-106,True
hsa-miR-557,3.7812,4.8893,-1.1081,0.048693,-22.7564,3051.6,5.135876087243504e-106,389,7.195507628657352e-106,True
hsa-miR-4736,3.7751,4.8368,-1.0618,0.046351,-22.907,2224.2,1.9256524817907756e-104,390,2.6909759040409557e-104,True
hsa-miR-6781-5p,6.0266,7.6383,-1.6117,0.07229,-22.2954,3958.3,7.885519625002341e-104,391,1.09913253085071e-103,True
hsa-miR-4515,3.7442,4.6884,-0.9442,0.041124,-22.9598,1893.1,4.058170512796937e-103,392,5.642099309883496e-103,True
hsa-miR-7847-3p,4.2179,5.2531,-1.0352,0.045939,-22.5347,2672.2,4.271562016274575e-103,393,5.923667427149219e-103,True
hsa-miR-1207-5p,4.474,5.5247,-1.0507,0.047324,-22.2027,3256.8,8.070177235098455e-102,394,1.116306241910827e-101,True
hsa-miR-6765-3p,4.6188,5.4238,-0.805,0.036646,-21.9677,2579.8,3.414275305889112e-98,395,4.7108355486318125e-98,True
hsa-miR-423-5p,4.583,5.4724,-0.8894,0.04118,-21.5973,3833.2,1.0198365569952888e-97,396,1.4035629382889707e-97,True
hsa-miR-6086,3.7387,4.5927,-0.854,0.038957,-21.9221,2504.2,1.3616567244123528e-97,397,1.8692768634879908e-97,True
hsa-miR-6895-5p,3.8192,4.6878,-0.8687,0.039987,-21.7242,3119.3,1.458396730145231e-97,398,1.997050798816962e-97,True
hsa-miR-6877-5p,4.4608,5.3702,-0.9093,0.042133,-21.5818,3635.4,2.665049245649212e-97,399,3.640230172628623e-97,True
hsa-miR-1343-3p,4.2169,4.9829,-0.7659,0.035566,-21.5358,2757.9,3.270768052683463e-95,400,4.4564214717812183e-95,True
