mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-3622a-5p,3.7524,5.3583,-1.6059,0.036283,-44.2619,2225.4,1.7715529187645844e-307,54,1.787956186530923e-306,True
hsa-miR-718,3.4044,5.3958,-1.9915,0.04451,-44.7418,2089.5,3.2725401140809174e-307,55,3.2427897494074546e-306,True
hsa-miR-4449,4.0601,5.6818,-1.6217,0.038141,-42.5172,2841.2,3.837679251137729e-306,56,3.73488427119654e-305,True
hsa-miR-373-5p,3.6908,5.3133,-1.6225,0.036398,-44.578,2078.7,3.700555187428115e-305,57,3.5382501353479347e-304,True
hsa-miR-3147,2.9924,4.9749,-1.9825,0.044613,-44.437,2101.5,1.185351396147538e-304,58,1.1138215705179453e-303,True
hsa-miR-2392,3.887,5.4489,-1.5619,0.036571,-42.7094,2502.9,7.360948216486096e-300,59,6.799519962686309e-299,True
hsa-miR-25-5p,3.1067,4.8907,-1.7841,0.039329,-45.3622,1764.1,1.8464874049792122e-298,60,1.6772260595227844e-297,True
hsa-miR-6851-5p,4.01,5.5731,-1.5631,0.036179,-43.205,2270.9,3.6070386059730476e-298,61,3.2226820332054274e-297,True
hsa-miR-4290,3.0271,4.8534,-1.8264,0.041651,-43.8484,2018.8,1.2774915908054394e-295,62,1.1229563177241364e-294,True
hsa-miR-4446-3p,4.7777,6.4152,-1.6375,0.038695,-42.317,2472.3,7.92897674153028e-295,63,6.859194165292069e-294,True
hsa-miR-198,3.3179,4.842,-1.5241,0.034423,-44.2763,1875.3,1.0292230087056797e-293,64,8.764477183509304e-293,True
hsa-miR-3610,3.3937,5.0067,-1.613,0.036729,-43.9168,1952.9,1.2756224006778106e-293,65,1.069560320568318e-292,True
hsa-miR-615-5p,3.6718,5.2429,-1.5711,0.037995,-41.3511,2686.8,1.1160614576346022e-289,66,9.215962036528155e-289,True
hsa-miR-5698,3.8124,5.5221,-1.7097,0.042026,-40.682,2985.8,2.7911573042341473e-288,67,2.2704190012053887e-287,True
hsa-miR-4436b-5p,3.2916,5.0087,-1.7171,0.040985,-41.8968,2331.8,1.728553198859071e-286,68,1.385384549085579e-285,True
hsa-miR-572,3.2053,4.7377,-1.5324,0.036051,-42.5056,2127.0,2.59592348421053e-286,69,2.0504033317315056e-285,True
hsa-miR-3679-5p,4.9437,6.5568,-1.6131,0.04031,-40.0179,3315.5,4.660902071564146e-286,70,3.628845184289228e-285,True
hsa-miR-636,3.4633,4.9972,-1.5338,0.035411,-43.3154,1898.1,1.2730786139165927e-285,71,9.772223163162578e-285,True
hsa-miR-4279,3.63,5.0689,-1.4388,0.035145,-40.9403,2657.8,1.5612126579197824e-284,72,1.1817512480087242e-283,True
hsa-miR-23a-5p,3.7489,5.0121,-1.2632,0.030364,-41.5998,2263.9,1.85875865410984e-281,73,1.3877033787532366e-280,True
hsa-miR-4323,3.3356,4.8629,-1.5273,0.037425,-40.8093,2540.4,1.9689611303629862e-280,74,1.4501132649294965e-279,True
hsa-miR-583,3.6804,4.8914,-1.211,0.028929,-41.8623,2133.2,4.279213537549875e-280,75,3.1095618372862426e-279,True
hsa-miR-4716-5p,2.8519,4.9036,-2.0517,0.048447,-42.3496,1993.0,4.563587397688146e-280,76,3.27257254176321e-279,True
hsa-miR-2276-3p,3.2057,4.7707,-1.565,0.037434,-41.8069,2091.5,3.536782889192504e-278,77,2.503307369623266e-277,True
hsa-miR-4530,5.8298,8.0072,-2.1774,0.056179,-38.7583,3871.2,5.584682118955357e-278,78,3.902117634398294e-277,True
hsa-miR-8089,4.1187,5.7725,-1.6538,0.040985,-40.3521,2631.6,1.4580768419323381e-277,79,1.005888454244461e-276,True
hsa-miR-550a-5p,3.6948,5.4352,-1.7404,0.042283,-41.1613,2275.0,2.7746812159245577e-277,80,1.8902515783486048e-276,True
hsa-miR-4722-3p,3.396,4.9792,-1.5832,0.038594,-41.0225,2258.2,2.1802754265999292e-275,81,1.4669754413542733e-274,True
hsa-miR-675-3p,3.3729,4.9565,-1.5836,0.038426,-41.2126,2162.3,1.6711868393643583e-274,82,1.1107278383580186e-273,True
hsa-miR-30c-1-3p,3.6165,5.035,-1.4185,0.035506,-39.9515,2685.0,2.470695540608344e-274,83,1.6223241802789728e-273,True
hsa-miR-6824-5p,4.0821,5.7898,-1.7076,0.042714,-39.9781,2662.5,3.678692715087374e-274,84,2.386770868717403e-273,True
hsa-miR-6737-5p,4.4008,5.789,-1.3882,0.034813,-39.8766,2703.5,6.838425199109886e-274,85,4.384637333546927e-273,True
hsa-miR-3135b,4.4177,6.1682,-1.7506,0.042533,-41.1575,2152.3,1.2032427629741676e-273,86,7.62520123047583e-273,True
hsa-miR-7108-5p,6.1422,7.8334,-1.6912,0.043137,-39.2053,3093.4,2.7091483681459445e-273,87,1.6971101846431492e-272,True
hsa-miR-7846-3p,3.946,5.4026,-1.4566,0.036487,-39.9195,2584.0,7.150315802407595e-272,88,4.428320582172885e-271,True
hsa-miR-4673,2.6174,4.7346,-2.1173,0.051879,-40.8119,2102.1,1.1362119536970497e-268,89,6.957702413088675e-268,True
hsa-miR-6813-5p,3.659,5.186,-1.527,0.039193,-38.9614,2896.5,2.303848626476379e-267,90,1.3951083349218074e-266,True
hsa-miR-3173-3p,3.309,4.7539,-1.4449,0.035306,-40.9247,2021.3,3.257395374174864e-267,91,1.9508576691486825e-266,True
hsa-miR-1233-3p,3.5153,4.8489,-1.3336,0.033793,-39.4652,2575.9,7.770829793160528e-267,92,4.6033719970353127e-266,True
hsa-miR-4483,3.0479,4.7931,-1.7451,0.043537,-40.0839,2269.6,4.055876943959347e-266,93,2.3768311123202625e-265,True
hsa-miR-1288-3p,3.3828,4.8985,-1.5157,0.037695,-40.2104,2045.3,5.139306024070394e-261,94,2.9797040245940046e-260,True
hsa-miR-4655-5p,4.8616,6.4573,-1.5957,0.042469,-37.5724,3487.2,1.021201409289473e-259,95,5.858471242765924e-259,True
hsa-miR-4741,5.6947,7.6857,-1.991,0.052347,-38.0349,3054.9,1.7211465598276932e-259,96,9.7710924490218e-259,True
hsa-miR-4534,4.1084,6.1302,-2.0217,0.051825,-39.0106,2410.6,1.7682630286466109e-258,97,9.93508608878766e-258,True
