mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-6880-5p,3.9957,5.5219,-1.5262,4.869237082286827e-178,266,9.9764443979185e-178,True
hsa-miR-6754-3p,3.6823,4.7058,-1.0235,5.226520592285032e-178,267,1.0668366002978812e-177,True
hsa-miR-1915-5p,3.5095,4.6376,-1.1281,6.096545361076984e-178,268,1.2397825454428943e-177,True
hsa-miR-6822-5p,3.4765,4.7103,-1.2337,2.099676163875556e-176,269,4.253990740937465e-176,True
hsa-miR-3188,4.6821,5.6656,-0.9835,2.445074186110235e-176,270,4.9354275238151044e-176,True
hsa-miR-4513,3.6937,4.97,-1.2763,3.835814949844352e-176,271,7.714092795812441e-176,True
hsa-miR-6819-5p,4.5297,6.1154,-1.5857,5.9666033932439756e-176,272,1.1955142828374877e-175,True
hsa-miR-6777-3p,3.9812,4.9493,-0.9681,1.2516710719827091e-175,273,2.4987572682438697e-175,True
hsa-miR-6845-5p,5.9754,7.6031,-1.6277,1.9685121886323911e-175,274,3.9154713241045736e-175,True
hsa-miR-2110,3.725,4.8097,-1.0847,2.2327085181426283e-175,275,4.424822335955391e-175,True
hsa-miR-6124,4.6942,5.9753,-1.2811,8.290872389896731e-175,276,1.637146903077434e-174,True
hsa-miR-1587,3.6885,4.8085,-1.12,1.1420649549131823e-174,277,2.2470231062371274e-174,True
hsa-miR-8069,6.2286,9.6826,-3.454,9.046075417486976e-173,278,1.7734212599030223e-172,True
hsa-miR-6862-3p,3.544,4.7669,-1.2229,1.5108594780557727e-172,279,2.9513204858078715e-172,True
hsa-miR-4539,3.5383,4.7028,-1.1645,2.9026020039238426e-172,280,5.649707471923194e-172,True
hsa-miR-1237-3p,4.0267,4.9703,-0.9436,3.2081522283264114e-172,281,6.222216955294997e-172,True
hsa-miR-4435,3.3163,4.7763,-1.46,6.159964799378337e-172,282,1.1904896509436857e-171,True
hsa-miR-1273f,3.756,4.9528,-1.1968,7.062399207380527e-172,283,1.3600733455909496e-171,True
hsa-miR-1236-3p,3.9065,4.8177,-0.9112,7.184829389219779e-172,284,1.3787788792692886e-171,True
hsa-miR-6859-3p,3.3363,4.5967,-1.2604,9.012598793322234e-172,285,1.7234618745124973e-171,True
hsa-miR-3679-3p,4.2619,5.2702,-1.0083,1.0135128239706475e-171,286,1.9313443673566536e-171,True
hsa-miR-5088-5p,3.4076,4.5656,-1.158,6.189161791806566e-171,287,1.1752937897333025e-170,True
hsa-miR-4640-5p,4.7926,6.0983,-1.3057,2.744184070491484e-169,288,5.192987216728676e-169,True
hsa-miR-4707-5p,4.7,6.1067,-1.4067,3.1901485480763003e-169,289,6.016024078552193e-169,True
hsa-miR-5096,3.6287,4.7382,-1.1095,5.772443906680005e-169,290,1.08482135487607e-168,True
hsa-miR-574-3p,3.644,4.6737,-1.0297,7.18585140571984e-169,291,1.3458037856073239e-168,True
hsa-miR-4731-5p,3.9235,5.127,-1.2035,4.157444790588485e-168,292,7.759614420790153e-168,True
hsa-miR-6893-5p,4.7999,6.2246,-1.4247,2.5598740578669357e-166,293,4.7615404830630723e-166,True
hsa-miR-6763-3p,3.6281,4.7014,-1.0733,1.4670824603335945e-165,294,2.7195916356524114e-165,True
hsa-miR-6891-5p,4.4297,5.7733,-1.3435,5.098087173257333e-165,295,9.418500031949989e-165,True
hsa-miR-4769-3p,3.2525,4.529,-1.2765,1.7458977944681923e-164,296,3.214575331030962e-164,True
hsa-miR-625-3p,3.4571,4.6038,-1.1467,1.9841153005498713e-163,297,3.640884979123501e-163,True
hsa-miR-3197,5.3817,7.7005,-2.3188,2.546566050346128e-163,298,4.657310394089395e-163,True
hsa-miR-4787-5p,8.8669,11.0836,-2.2166,2.5608064611066262e-163,299,4.667690706699369e-163,True
hsa-miR-6754-5p,3.9203,4.7691,-0.8488,2.896571699750004e-162,300,5.262105254545841e-162,True
hsa-miR-6802-5p,5.4939,6.8438,-1.3499,9.135103695852426e-160,301,1.654030403401851e-159,True
hsa-miR-6892-5p,3.611,4.6562,-1.0452,1.8155350653768168e-159,302,3.2763795053985605e-159,True
hsa-miR-6766-5p,4.0946,5.131,-1.0364,2.9498453480422527e-159,303,5.305827441198111e-159,True
hsa-miR-4492,5.488,7.5856,-2.0975,1.368392806604661e-158,304,2.4532042092090138e-158,True
hsa-miR-4728-5p,4.6081,5.8921,-1.284,9.485652613340942e-158,305,1.6949772702527257e-157,True
hsa-miR-4728-3p,3.6812,4.7703,-1.0891,1.2481364564417946e-156,306,2.222988133205157e-156,True
hsa-miR-3175,3.8059,4.7994,-0.9935,3.244961690825179e-156,307,5.760599744298771e-156,True
hsa-miR-1199-5p,3.4313,4.6518,-1.2205,1.6016448325384556e-154,308,2.834079330303436e-154,True
hsa-miR-6865-3p,4.0006,4.8601,-0.8595,5.219707840188125e-154,309,9.206280818454784e-154,True
hsa-miR-4448,3.8505,5.0129,-1.1623,2.687642454874272e-152,310,4.725048831956381e-152,True
hsa-miR-1249-5p,2.1442,4.5377,-2.3935,3.7161569873153864e-152,311,6.512236521179696e-152,True
hsa-miR-940,4.2964,5.2197,-0.9233,9.851296555578538e-152,312,1.7208194303815075e-151,True
hsa-miR-4505,6.0173,7.4584,-1.4411,4.9563966283675145e-151,313,8.630147483898707e-151,True
hsa-miR-874-3p,3.8687,4.7762,-0.9075,6.307649347268005e-151,314,1.0947990109111665e-150,True
hsa-miR-1275,3.0272,4.8053,-1.778,1.8007660818186876e-150,315,3.115611157432333e-150,True
hsa-miR-6769a-3p,3.9082,4.7772,-0.869,2.2384131567932078e-150,316,3.8605543368743615e-150,True
hsa-miR-7109-5p,4.7001,5.9591,-1.259,3.1351291329886855e-150,317,5.390048509396952e-150,True
hsa-miR-1908-3p,3.2024,4.5673,-1.365,1.646261393295377e-149,318,2.821422828132014e-149,True
hsa-miR-4433a-5p,1.7397,3.6805,-1.9408,4.97184976424386e-149,319,8.494226086247346e-149,True
hsa-miR-6812-5p,3.5023,4.7737,-1.2714,8.266222053070526e-147,320,1.4078409434135739e-146,True
hsa-miR-6766-3p,3.8558,4.8397,-0.9839,1.2489945279832663e-146,321,2.1205670334918384e-146,True
hsa-miR-3194-5p,3.5735,4.5617,-0.9882,2.264750319262354e-146,322,3.833195416142804e-146,True
hsa-miR-320a,3.7116,4.7696,-1.058,2.0807386401925798e-145,323,3.510843835619059e-145,True
hsa-miR-6861-5p,4.7695,5.9273,-1.1578,2.3341211253398576e-145,324,3.926222263303155e-145,True
hsa-miR-4651,6.8301,8.5574,-1.7273,1.2372428334522482e-144,325,2.0747610591737702e-144,True
hsa-miR-6850-5p,6.8579,8.9085,-2.0506,1.5987821136355873e-144,326,2.672810588746611e-144,True
hsa-miR-5195-3p,3.9588,5.1667,-1.2079,2.5245838670857388e-144,327,4.207639778476231e-144,True
hsa-miR-6165,3.9887,4.9226,-0.9339,1.3505906022072756e-143,328,2.2441215798870887e-143,True
hsa-miR-5008-5p,3.5934,4.9436,-1.3502,1.5046950664550228e-143,329,2.492579973306953e-143,True
hsa-miR-6825-5p,3.7779,5.2367,-1.4588,2.3892512760195274e-143,330,3.9458846831231587e-143,True
hsa-miR-6750-3p,3.4571,4.552,-1.095,7.668810015521436e-143,331,1.2626892623743754e-142,True
hsa-miR-6805-5p,5.7484,8.1131,-2.3646,1.1779947190571934e-142,332,1.9337563912234046e-142,True
hsa-miR-3917,4.0427,4.9829,-0.9403,1.539579761005859e-142,333,2.5197326418864658e-142,True
hsa-miR-4687-3p,5.748,7.3923,-1.6443,3.688521782200525e-142,334,6.018695722452953e-142,True
hsa-miR-6890-5p,3.9488,4.7271,-0.7783,4.3362158699400826e-142,335,7.054440743633866e-142,True
hsa-miR-4758-5p,5.3061,6.6894,-1.3833,6.799255569384501e-142,336,1.1028554420579027e-141,True
hsa-miR-4697-5p,4.8583,6.2504,-1.3921,7.182677245671723e-141,337,1.1615902370596702e-140,True
hsa-miR-6798-3p,3.4236,4.5289,-1.1053,1.204640656050004e-140,338,1.942393957240391e-140,True
hsa-miR-7160-5p,3.6642,4.5988,-0.9345,2.4415532753152193e-140,339,3.9252110178371524e-140,True
hsa-miR-8072,8.0269,10.5602,-2.5332,5.1739635464675955e-139,340,8.293559214190704e-139,True
hsa-miR-6808-5p,4.2236,5.6723,-1.4487,6.889076529695016e-139,341,1.1010400905231038e-138,True
hsa-miR-4450,3.5461,4.6969,-1.1508,3.0348954202591627e-138,342,4.83630995333697e-138,True
hsa-miR-4750-5p,4.0907,5.135,-1.0443,4.0684974981356547e-137,343,6.46452226380155e-137,True
hsa-miR-1470,3.8007,4.7229,-0.9223,2.877493647292315e-136,344,4.558819877250906e-136,True
hsa-miR-197-5p,5.1981,6.1391,-0.9411,3.72975690875677e-136,345,5.891934826876636e-136,True
hsa-miR-4429,4.1917,5.1966,-1.0049,7.995617586010343e-135,346,1.2594253134033632e-134,True
hsa-miR-6776-5p,3.5282,4.58,-1.0518,3.7295497472204647e-134,347,5.857650179352026e-134,True
hsa-miR-939-3p,3.6495,4.5646,-0.915,8.143567433658761e-134,348,1.2753575434896622e-133,True
hsa-miR-4646-3p,3.2833,4.4024,-1.119,1.8567040366921003e-131,349,2.8994375358085806e-131,True
hsa-miR-665,4.7031,5.5839,-0.8808,4.61849521865655e-131,350,7.191656840479484e-131,True
hsa-miR-1229-3p,3.7766,4.6975,-0.9209,7.91246148914054e-130,351,1.2285730802226765e-129,True
hsa-miR-6746-5p,4.7024,5.5192,-0.8168,8.045669754923338e-130,352,1.2457073910321645e-129,True
hsa-miR-3195,5.0706,6.1587,-1.0882,4.9757968555804774e-129,353,7.682179281278641e-129,True
hsa-miR-4516,7.3482,10.2841,-2.9358,1.64509905684414e-126,354,2.5327089999436623e-126,True
hsa-miR-6821-5p,5.2765,6.8412,-1.5647,2.0311303614355003e-126,355,3.1182142168516834e-126,True
hsa-miR-4685-5p,3.7538,4.6125,-0.8587,2.7332076602970425e-126,356,4.1842645361289e-126,True
hsa-miR-6515-5p,3.7201,4.6858,-0.9657,4.328553088644235e-126,357,6.608015219358845e-126,True
hsa-miR-4294,6.2767,7.9735,-1.6968,1.6557378611216038e-124,358,2.5206065204225532e-124,True
hsa-miR-149-3p,5.9819,7.4774,-1.4954,2.7232528575684694e-123,359,4.134186092966061e-123,True
hsa-miR-6775-5p,5.4528,6.8164,-1.3635,3.5058578640053665e-123,360,5.307479266341457e-123,True
hsa-miR-4763-3p,5.1136,6.7346,-1.621,3.4830778868079224e-122,361,5.258386283408083e-122,True
hsa-miR-6756-5p,5.2613,6.511,-1.2497,8.956852180877588e-122,362,1.3484763642481452e-121,True
hsa-miR-6886-3p,3.5615,4.5626,-1.0011,1.5359883628128936e-120,363,2.3060982306694958e-120,True
hsa-miR-6729-5p,7.6084,9.8964,-2.288,7.546441523919818e-120,364,1.1298930303671156e-119,True
hsa-miR-4646-5p,3.5218,4.62,-1.0981,1.8017544159568837e-119,365,2.6902908402643884e-119,True
hsa-miR-7851-3p,3.7311,4.6867,-0.9556,2.4831784587231926e-118,366,3.6976291256943716e-118,True
hsa-miR-3185,3.9528,5.4378,-1.485,2.4210232716690007e-116,367,3.595252542396745e-116,True
hsa-miR-920,3.9039,4.7155,-0.8116,4.8807912531622936e-116,368,7.22834574177568e-116,True
hsa-miR-6765-5p,6.4229,8.1824,-1.7595,6.867038559640866e-116,369,1.0142374024401822e-115,True
hsa-miR-3151-5p,3.5774,4.5326,-0.9552,3.9458485054887453e-115,370,5.81212820403072e-115,True
hsa-miR-8073,4.2704,5.1953,-0.9249,6.089226399229386e-115,371,8.94508999347713e-115,True
hsa-miR-6795-5p,4.0775,4.9999,-0.9224,3.830844546104345e-114,372,5.612393219427065e-114,True
hsa-miR-6076,4.4067,5.6478,-1.2411,5.142197679937256e-114,373,7.51339875486811e-114,True
hsa-miR-629-3p,3.4908,4.5766,-1.0858,2.5945434600725877e-113,374,3.7808186784480226e-113,True
hsa-miR-4689,5.5865,6.8522,-1.2657,3.455335283521705e-113,375,5.021753945384878e-113,True
hsa-miR-6858-5p,5.5286,6.6259,-1.0973,8.453406553590937e-113,376,1.2252943009859205e-112,True
hsa-miR-7108-3p,3.8546,4.7071,-0.8525,5.856712246002417e-112,377,8.466599931223653e-112,True
hsa-miR-6738-5p,4.7669,5.5518,-0.7849,3.378555328199676e-111,378,4.871197497007469e-111,True
hsa-miR-6796-3p,3.7778,4.6701,-0.8923,1.2361667413716725e-110,379,1.7776012507851228e-110,True
hsa-miR-6797-5p,3.7634,4.737,-0.9737,2.605701525108014e-110,380,3.73712455574702e-110,True
hsa-miR-296-5p,5.0265,5.7911,-0.7646,4.769361867965709e-109,381,6.822315532916828e-109,True
hsa-miR-4723-5p,5.2162,6.3826,-1.1664,6.883025595718886e-109,382,9.820023428447102e-109,True
hsa-miR-6717-5p,3.8326,4.9339,-1.1013,6.933819094864731e-109,383,9.866661636295767e-109,True
hsa-miR-548q,3.6918,4.6068,-0.915,1.6620387804420258e-108,384,2.3588831649502707e-108,True
hsa-miR-6894-3p,3.7519,4.6363,-0.8843,9.714933764864811e-108,385,1.375230883597746e-107,True
hsa-miR-6790-3p,3.6881,4.5366,-0.8485,1.2545774075431915e-107,386,1.7713592930337808e-107,True
hsa-miR-6879-5p,5.5872,6.9002,-1.3131,3.5033749182524304e-107,387,4.9336933603296496e-107,True
hsa-miR-451a,3.6862,4.7658,-1.0795,5.129358116143251e-106,388,7.20489735386101e-106,True
hsa-miR-557,3.7812,4.8893,-1.1081,5.135871408635467e-106,389,7.195501073795192e-106,True
hsa-miR-4736,3.7751,4.8368,-1.0618,1.925650714553602e-104,390,2.69097343444029e-104,True
hsa-miR-6781-5p,6.0266,7.6383,-1.6117,7.885514798034956e-104,391,1.0991318580381204e-103,True
hsa-miR-4515,3.7442,4.6884,-0.9442,4.058166436131833e-103,392,5.642093642071043e-103,True
hsa-miR-7847-3p,4.2179,5.2531,-1.0352,4.2715580407545617e-103,393,5.923661914023502e-103,True
hsa-miR-1207-5p,4.474,5.5247,-1.0507,8.070169919001132e-102,394,1.116305229912593e-101,True
hsa-miR-6765-3p,4.6188,5.4238,-0.805,3.414271510434524e-98,395,4.7108303118653556e-98,True
hsa-miR-423-5p,4.583,5.4724,-0.8894,1.019835524947295e-97,396,1.4035615179198882e-97,True
hsa-miR-6086,3.7387,4.5927,-0.854,1.361655312181283e-97,397,1.8692749247828698e-97,True
hsa-miR-6895-5p,3.8192,4.6878,-0.8687,1.4583952319306315e-97,398,1.997048747241694e-97,True
hsa-miR-6877-5p,4.4608,5.3702,-0.9093,2.665046628527976e-97,399,3.640226597864028e-97,True
hsa-miR-1343-3p,4.2169,4.9829,-0.7659,3.270764393690867e-95,400,4.456416486403806e-95,True
hsa-miR-4638-5p,3.6388,4.5366,-0.8978,1.1403792709670987e-94,401,1.5498920266261065e-94,True
hsa-miR-6756-3p,3.7917,4.5705,-0.7788,3.569506378588582e-94,402,4.839256160026808e-94,True
hsa-miR-4749-3p,3.7643,4.5586,-0.7942,1.5017742424204826e-93,403,2.0309353898738536e-93,True
hsa-miR-4419b,4.3645,5.1306,-0.7662,4.205722597507092e-92,404,5.673561424854864e-92,True
hsa-miR-7113-3p,3.7171,4.6202,-0.903,5.0337403884387536e-92,405,6.773798794318816e-92,True
hsa-miR-211-3p,4.4257,5.253,-0.8273,6.436975353869897e-92,406,8.640767408519935e-92,True
hsa-miR-7106-5p,3.9026,4.799,-0.8964,1.980277730499165e-91,407,2.6517232509141157e-91,True
hsa-miR-4498,3.8557,4.6432,-0.7874,6.245742710375127e-91,408,8.342965140084422e-91,True
hsa-miR-1281,3.7863,4.5774,-0.791,1.6237422050144365e-90,409,2.163666263405545e-90,True
hsa-miR-4257,4.7279,5.426,-0.6981,6.358573545029168e-90,410,8.452250200099748e-90,True
hsa-miR-6778-5p,4.74,5.5327,-0.7927,1.5809772734070947e-88,411,2.0964297177782644e-88,True
hsa-miR-6721-5p,4.369,5.4232,-1.0542,1.8276407402376238e-87,412,2.4176315617220995e-87,True
hsa-miR-4706,5.081,6.0182,-0.9371,3.0671388972460116e-87,413,4.047435106535293e-87,True
hsa-miR-4723-3p,3.7674,4.5024,-0.735,1.7568722824177234e-86,414,2.312790806564394e-86,True
hsa-miR-4787-3p,3.8347,4.5716,-0.7369,2.0759287151898152e-85,415,2.726219638020359e-85,True
hsa-miR-92a-2-5p,4.1634,5.6195,-1.4561,7.807231960189555e-85,416,1.0228224563229105e-84,True
hsa-miR-6742-5p,3.7706,4.5635,-0.7929,8.687970572235976e-85,417,1.1354781683138147e-84,True
hsa-miR-7111-5p,4.5338,5.567,-1.0332,1.733694320139927e-84,418,2.2604387666896177e-84,True
hsa-miR-6792-3p,3.8253,4.5283,-0.703,2.2343948130070264e-84,419,2.9063130622645094e-84,True
hsa-miR-4710,3.5802,4.5979,-1.0177,2.849394929537027e-83,420,3.697429134756381e-83,True
hsa-miR-6125,7.8982,9.6335,-1.7353,9.036697192035793e-83,421,1.1698337220093841e-82,True
hsa-miR-328-5p,6.788,8.5515,-1.7635,4.716232644069676e-82,422,6.090869173028372e-82,True
hsa-miR-3158-5p,3.837,4.5838,-0.7468,1.1549031760933573e-79,423,1.4879958178980608e-79,True
hsa-miR-371a-5p,4.6671,5.3702,-0.7031,1.2904349568984181e-79,424,1.6586958762019762e-79,True
hsa-miR-663a,5.5777,7.5971,-2.0194,1.147083064818936e-78,425,1.4709653419442827e-78,True
hsa-miR-6887-5p,4.2935,5.1042,-0.8107,1.974405689154363e-77,426,2.5259415506787038e-77,True
hsa-miR-4472,3.6605,4.4752,-0.8147,9.133988194154652e-77,427,1.1658134814553361e-76,True
hsa-miR-6085,6.3837,7.7433,-1.3596,7.305988306601759e-76,428,9.303186044621398e-76,True
hsa-miR-6791-5p,5.6864,6.8912,-1.2048,7.589012358574473e-76,429,9.641052996324214e-76,True
hsa-miR-1268a,6.3402,7.9154,-1.5752,1.4125017069976176e-72,430,1.790263791427213e-72,True
hsa-miR-7641,4.1269,4.9848,-0.8579,1.68399494223631e-72,431,2.1294135580482341e-72,True
hsa-miR-1268b,6.1479,7.4114,-1.2635,2.367180707143894e-72,432,2.98637380878107e-72,True
hsa-miR-4745-5p,6.3407,8.4962,-2.1555,1.2947004133320874e-71,433,1.6295882800600177e-71,True
hsa-miR-6724-5p,5.7451,7.1951,-1.45,4.2220637084719775e-70,434,5.301900279071953e-70,True
hsa-miR-7110-5p,3.9124,4.9563,-1.0439,6.488690737257746e-69,435,8.129509084610278e-69,True
hsa-miR-4675,4.8312,5.6902,-0.859,7.172177051288639e-69,436,8.965221314110799e-69,True
hsa-miR-4690-5p,4.092,4.8421,-0.7501,3.176858136498836e-68,437,3.961985547807473e-68,True
hsa-miR-4632-5p,5.7128,6.5971,-0.8843,4.866212227629669e-67,438,6.054990100589429e-67,True
hsa-miR-6126,7.1892,8.6276,-1.4384,3.306999441353046e-64,439,4.105500445415513e-64,True
hsa-miR-6787-5p,5.3909,6.3425,-0.9517,1.2875451816944017e-63,440,1.594800281871475e-63,True
hsa-miR-638,8.9053,10.1386,-1.2333,1.5600612873245532e-62,441,1.927966897033745e-62,True
hsa-miR-762,7.5072,9.5202,-2.013,5.169714112508859e-60,442,6.374421247324272e-60,True
hsa-miR-4695-5p,5.0676,5.8527,-0.7851,1.8799750061894726e-59,443,2.3128360685626694e-59,True
hsa-miR-6798-5p,5.3218,6.8586,-1.5369,5.8012635938239685e-58,444,7.12092040232897e-58,True
hsa-miR-6800-3p,3.815,4.4691,-0.654,5.222532524713842e-57,445,6.396135339256278e-57,True
hsa-miR-6777-5p,4.1992,4.8468,-0.6476,3.8775744599703324e-55,446,4.7382916607260784e-55,True
hsa-miR-4322,3.9798,4.5327,-0.5529,4.7776517218721584e-54,447,5.825101092662923e-54,True
hsa-miR-6088,7.6582,6.1807,1.4775,5.715006975422611e-54,448,6.952408039297596e-54,True
hsa-miR-3665,7.8496,9.7389,-1.8892,3.075220849186248e-53,449,3.7327290931102564e-53,True
hsa-miR-4447,4.1556,4.8041,-0.6485,4.699416320952988e-53,450,5.691515322043063e-53,True
hsa-miR-3960,10.4316,11.9609,-1.5293,9.29419105629366e-53,451,1.1231339524789456e-52,True
hsa-miR-1185-1-3p,5.3267,6.0997,-0.773,1.3312188177586581e-52,452,1.6051200346868778e-52,True
hsa-miR-6087,7.2257,5.2164,2.0093,2.9994792340217764e-51,453,3.60864499457366e-51,True
hsa-miR-1237-5p,6.7643,4.708,2.0563,3.080650902937942e-51,454,3.698138198460746e-51,True
hsa-miR-128-2-5p,6.549,7.8767,-1.3277,1.0533860376104146e-50,455,1.2617481109839032e-50,True
hsa-miR-6726-5p,4.7871,6.0039,-1.2168,4.579573944944951e-50,456,5.473394298234645e-50,True
hsa-miR-3178,6.9561,8.2714,-1.3153,8.0071520923542355e-50,457,9.549010700947612e-50,True
hsa-miR-4430,3.8036,4.4836,-0.68,8.158351972902903e-49,458,9.708082587842975e-49,True
hsa-miR-4507,4.1356,4.7234,-0.5878,9.449336959578142e-48,459,1.1219800965076443e-47,True
hsa-miR-6803-5p,6.0915,7.5699,-1.4784,1.0012268532633286e-46,460,1.1862361631054653e-46,True
hsa-miR-6089,8.8625,6.964,1.8986,2.047838357529622e-46,461,2.4209802708321997e-46,True
hsa-miR-4739,6.2664,7.7552,-1.4888,2.709250896107178e-46,462,3.1959777886978613e-46,True
hsa-miR-744-5p,5.5348,6.209,-0.6742,3.125139699045556e-45,463,3.6786201641033e-45,True
hsa-miR-675-5p,4.4743,5.0199,-0.5456,1.7619849474501267e-44,464,2.0695728369834465e-44,True
hsa-miR-6757-5p,5.1873,5.8105,-0.6232,4.2311672015784733e-44,465,4.959109945936059e-44,True
hsa-miR-8059,5.6884,6.652,-0.9636,7.220172189048796e-43,466,8.444192796205136e-43,True
hsa-miR-1225-5p,4.5546,3.7192,0.8354,4.310998410534484e-42,467,5.03103668895352e-42,True
hsa-miR-642b-3p,6.1429,6.9087,-0.7659,2.2516278067145896e-41,468,2.62208793730652e-41,True
hsa-miR-4327,5.8118,6.5176,-0.7058,1.1356299595230908e-39,469,1.319655283454338e-39,True
hsa-miR-6780b-5p,5.6977,6.7824,-1.0847,2.8461221953595143e-37,470,3.300290630789224e-37,True
hsa-miR-6816-5p,4.816,3.4422,1.3738,2.395888079490949e-36,471,2.7723121089651107e-36,True
hsa-miR-6786-5p,8.0945,9.2946,-1.2,2.6813716460266565e-36,472,3.096075311619762e-36,True
hsa-miR-4454,5.9635,4.8282,1.1352,4.0534948649564386e-36,473,4.6705173391147126e-36,True
hsa-miR-6848-5p,3.6152,4.4222,-0.807,5.9784344856782494e-36,474,6.873938385431742e-36,True
hsa-miR-4674,5.2625,6.2959,-1.0334,2.3237970782070786e-35,475,2.6662513844691744e-35,True
hsa-miR-652-5p,3.9583,4.4858,-0.5275,5.26393691020518e-35,476,6.026986588365175e-35,True
hsa-miR-4508,8.9423,7.607,1.3352,1.5660157622738341e-34,477,1.78926329232545e-34,True
hsa-miR-6727-5p,5.5109,7.0913,-1.5804,1.0820714643863937e-33,478,1.2337425692271643e-33,True
hsa-miR-1273g-3p,4.6765,5.2334,-0.5569,1.4403293762313965e-33,479,1.6387881211818603e-33,True
hsa-miR-1260b,3.8898,4.7976,-0.9078,8.890254290321201e-33,480,1.009414289213553e-32,True
hsa-miR-4532,9.3246,8.2171,1.1075,9.395066121883094e-33,481,1.0645137289867538e-32,True
hsa-miR-4484,5.9102,4.5603,1.3499,7.488514308660391e-31,482,8.467303523277828e-31,True
hsa-miR-8063,5.156,5.7668,-0.6107,1.45495203364706e-30,483,1.6417160628108648e-30,True
hsa-miR-6132,5.3529,6.0788,-0.7259,1.9533593448392724e-30,484,2.19954719615166e-30,True
hsa-miR-3194-3p,3.9512,4.5493,-0.5981,4.9806732837656994e-30,485,5.596839050829497e-30,True
hsa-miR-6131,6.6989,5.8006,0.8984,1.3969722482572606e-28,486,1.5665635294242942e-28,True
hsa-miR-3656,5.521,6.7917,-1.2707,4.868962820461742e-26,487,5.44883929599928e-26,True
hsa-miR-4649-5p,7.1596,7.8248,-0.6651,5.949532342795132e-26,488,6.644457227097023e-26,True
hsa-miR-7975,5.1006,5.5932,-0.4927,9.88433745943205e-26,489,1.1016286125542877e-25,False
hsa-miR-4732-5p,4.514,4.8461,-0.3321,1.398843905284639e-25,490,1.555856996694139e-25,False
hsa-miR-4442,5.5917,6.3036,-0.7119,1.6179097798474491e-25,491,1.7958469043113233e-25,True
hsa-miR-4466,6.4003,7.7771,-1.3768,3.29352914543245e-25,492,3.64831988670871e-25,True
hsa-miR-7150,5.0172,4.3183,0.6989,3.945065118868347e-24,493,4.361177464063385e-24,True
hsa-miR-4783-3p,5.0774,4.6316,0.4459,8.287447239252192e-24,494,9.143033897555557e-24,False
hsa-miR-1238-5p,4.0644,4.5156,-0.4512,7.091267598473507e-23,495,7.807557254884972e-23,False
hsa-miR-5100,3.8593,4.8126,-0.9532,1.3845491292682048e-22,496,1.5213291843773622e-22,True
hsa-miR-6784-5p,6.716,5.5406,1.1755,1.0719687052513432e-20,497,1.1754988820160605e-20,True
hsa-miR-5787,7.9004,6.6487,1.2516,8.014494373542642e-19,498,8.770882396748474e-19,True
hsa-miR-4443,4.3026,4.7657,-0.4631,9.38256133250559e-19,499,1.024748682608326e-18,False
hsa-miR-4258,4.664,5.2731,-0.6091,9.70509822505848e-19,500,1.0578557065313744e-18,True
hsa-miR-6857-5p,3.4572,3.912,-0.4549,9.925695106447125e-19,501,1.0797412840346675e-18,False
hsa-miR-1260a,4.4791,4.7964,-0.3174,1.1889644317302973e-18,502,1.2908079985916574e-18,False
hsa-miR-3196,5.9419,7.015,-1.0731,5.129807633624818e-18,503,5.558141471820131e-18,True
hsa-miR-6889-5p,4.3642,4.8664,-0.5021,1.1893450275657672e-17,504,1.2860973016336174e-17,True
hsa-miR-7977,4.6751,5.2206,-0.5455,8.776147872889441e-17,505,9.471288298464842e-17,True
hsa-miR-3940-5p,6.6984,7.5853,-0.8868,8.904443381351608e-17,506,9.590754234854992e-17,True
hsa-miR-1469,7.3091,6.4988,0.8103,1.5730644604619878e-16,507,1.6909667277155492e-16,True
hsa-miR-4497,8.0577,8.9016,-0.8439,2.5163981974373495e-16,508,2.699679168510542e-16,True
hsa-miR-92b-5p,4.3489,5.0718,-0.723,3.3938566839089757e-16,509,3.6338936988809267e-16,True
hsa-miR-1185-2-3p,5.1093,5.4813,-0.372,4.1492260367172697e-16,510,4.433976843158651e-16,False
hsa-miR-6749-5p,6.2194,6.7865,-0.5671,7.773507939611475e-16,511,8.290727645965271e-16,True
hsa-miR-6752-5p,5.362,4.3765,0.9855,1.3398815470599776e-15,512,1.4262410998978278e-15,True
hsa-miR-4725-3p,5.4336,6.0624,-0.6288,2.634182661443834e-15,513,2.7984981490972504e-15,True
hsa-miR-663b,5.3321,5.7492,-0.4171,3.0138322273054723e-15,514,3.195600318835569e-15,False
hsa-miR-658,4.1778,4.4772,-0.2993,7.298109952791514e-14,515,7.723242571400728e-14,False
hsa-miR-4459,5.6687,6.1628,-0.4941,6.42043353240882e-12,516,6.78127185109071e-12,False
hsa-miR-614,5.6566,6.0795,-0.4228,8.775389536346027e-12,517,9.250652412589139e-12,False
hsa-miR-3663-3p,8.3929,8.8318,-0.4389,1.293434143525009e-11,518,1.3608525255234168e-11,False
hsa-miR-619-5p,3.8113,4.1763,-0.365,9.51142283787673e-11,519,9.987910301816605e-11,False
hsa-miR-6789-5p,5.708,6.1603,-0.4523,1.2576026461941274e-09,520,1.3180643118765375e-09,False
hsa-miR-6768-5p,5.3024,5.7652,-0.4628,1.3259436956571584e-08,521,1.3870236355722673e-08,False
