mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-3679-5p,4.9437,6.5568,-1.6131,4.660889577999304e-286,70,3.628835457156601e-285,True
hsa-miR-636,3.4633,4.9972,-1.5338,1.2730752198966184e-285,71,9.772197110474042e-285,True
hsa-miR-4279,3.63,5.0689,-1.4388,1.5612080891287492e-284,72,1.1817477896877338e-283,True
hsa-miR-23a-5p,3.7489,5.0121,-1.2632,1.8587526467068745e-281,73,1.3876988937743106e-280,True
hsa-miR-4323,3.3356,4.8629,-1.5273,1.9689558348654419e-280,74,1.450109364867116e-279,True
hsa-miR-583,3.6804,4.8914,-1.211,4.279199297902448e-280,75,3.1095514898091124e-279,True
hsa-miR-4716-5p,2.8519,4.9036,-2.0517,4.563578500410907e-280,76,3.272566161478874e-279,True
hsa-miR-2276-3p,3.2057,4.7707,-1.565,3.536773888307085e-278,77,2.503300998866703e-277,True
hsa-miR-4530,5.8298,8.0072,-2.1774,5.584671353375692e-278,78,3.902110112294554e-277,True
hsa-miR-8089,4.1187,5.7725,-1.6538,1.4580732612245143e-277,79,1.0058859840093169e-276,True
hsa-miR-550a-5p,3.6948,5.4352,-1.7404,2.7746748398519665e-277,80,1.890247234649152e-276,True
hsa-miR-4722-3p,3.396,4.9792,-1.5832,2.180269976005978e-275,81,1.466971773979331e-274,True
hsa-miR-675-3p,3.3729,4.9565,-1.5836,1.6711826997442293e-274,82,1.110725087025128e-273,True
hsa-miR-30c-1-3p,3.6165,5.035,-1.4185,2.4706885704799053e-274,83,1.6223196035078896e-273,True
hsa-miR-6824-5p,4.0821,5.7898,-1.7076,3.678684108273877e-274,84,2.386765284534837e-273,True
hsa-miR-6737-5p,4.4008,5.789,-1.3882,6.838405519013475e-274,85,4.384624715132169e-273,True
hsa-miR-3135b,4.4177,6.1682,-1.7506,1.2032400798265363e-273,86,7.625184226807701e-273,True
hsa-miR-7108-5p,6.1422,7.8334,-1.6912,2.7091419149888368e-273,87,1.6971061421481794e-272,True
hsa-miR-7846-3p,3.946,5.4026,-1.4566,7.150296474157305e-272,88,4.428308611836059e-271,True
hsa-miR-4673,2.6174,4.7346,-2.1173,1.1362099172129835e-268,89,6.957689942484e-268,True
hsa-miR-6813-5p,3.659,5.186,-1.527,2.303842767842927e-267,90,1.3951047871937724e-266,True
hsa-miR-3173-3p,3.309,4.7539,-1.4449,3.2573869188794203e-267,91,1.9508526052629496e-266,True
hsa-miR-1233-3p,3.5153,4.8489,-1.3336,7.77080745880406e-267,92,4.6033587663567536e-266,True
hsa-miR-4483,3.0479,4.7931,-1.7451,4.0558681746297366e-266,93,2.376825973304523e-265,True
hsa-miR-1288-3p,3.3828,4.8985,-1.5157,5.139293704890725e-261,94,2.979696882090899e-260,True
hsa-miR-4655-5p,4.8616,6.4573,-1.5957,1.0211989912362159e-259,95,5.858457370776186e-259,True
hsa-miR-4741,5.6947,7.6857,-1.991,1.7211433296695838e-259,96,9.771074111145033e-259,True
hsa-miR-4534,4.1084,6.1302,-2.0217,1.7682598435726302e-258,97,9.935068193268902e-258,True
hsa-miR-6075,5.2595,6.7555,-1.496,9.408833793203128e-258,98,5.2324636911180666e-257,True
hsa-miR-483-5p,3.3539,5.0926,-1.7387,1.1368191441562086e-257,99,6.258246803688219e-257,True
hsa-miR-1231,4.0686,5.5608,-1.4922,2.9286515121832865e-257,100,1.5961150741398912e-256,True
hsa-miR-6836-3p,4.1857,6.2125,-2.0268,1.05400008285303e-256,101,5.687426189652489e-256,True
hsa-miR-197-3p,3.5708,4.8722,-1.3015,2.5756438810210623e-255,102,1.376201877604391e-254,True
hsa-miR-6729-3p,3.9227,5.1903,-1.2675,3.546682497803321e-253,103,1.8766426808765145e-252,True
hsa-miR-3928-3p,3.781,5.4183,-1.6372,4.015830934990817e-253,104,2.1044498649711492e-252,True
hsa-miR-24-3p,3.357,4.9667,-1.6098,3.1874094048098017e-252,105,1.6544172624965161e-251,True
hsa-miR-7112-5p,3.8527,5.078,-1.2253,7.043167830382222e-252,106,3.621251384488973e-251,True
hsa-miR-1249-3p,1.3878,3.9514,-2.5636,4.702599185185089e-251,107,2.395249117687732e-250,True
hsa-miR-6894-5p,3.8633,5.1647,-1.3013,4.881182096675035e-251,108,2.463189113599902e-250,True
hsa-miR-4270,5.0603,6.7127,-1.6523,1.0882957535370021e-250,109,5.44147876768501e-250,True
hsa-miR-4721,3.4624,5.0238,-1.5614,1.3641621272362586e-250,110,6.758803266761463e-250,True
hsa-miR-6807-5p,3.6673,5.1303,-1.463,4.484008228878831e-249,111,2.201607643908976e-248,True
hsa-miR-3918,3.6957,5.0416,-1.3458,9.916011913533597e-249,112,4.825202225781974e-248,True
hsa-miR-760,4.9039,6.4025,-1.4986,7.931208889067012e-248,113,3.825229065965949e-247,True
hsa-miR-6790-5p,3.7255,5.0838,-1.3584,1.1269064358341647e-247,114,5.387403574821226e-247,True
hsa-miR-6730-3p,3.2713,4.8376,-1.5663,6.154763163652913e-247,115,2.916822542774641e-246,True
hsa-miR-370-3p,4.22,5.2394,-1.0195,6.9891482528073e-246,116,3.2836946532586018e-245,True
hsa-miR-4722-5p,3.9365,5.368,-1.4315,1.0033568726132315e-245,117,4.6737563724291555e-245,True
hsa-miR-6829-5p,3.7071,5.2313,-1.5242,1.6461646293930457e-245,118,7.603048500162796e-245,True
hsa-miR-1236-5p,3.5358,4.9195,-1.3838,1.0937842170379528e-244,119,5.00934788475365e-244,True
hsa-miR-4656,4.6124,6.1996,-1.5872,1.4530866723935007e-244,120,6.599435303787149e-244,True
hsa-miR-766-3p,3.7217,4.9487,-1.227,4.7514005135332297e-244,121,2.1400936197319095e-243,True
hsa-miR-346,3.2348,4.7014,-1.4666,1.107594615214231e-243,122,4.947861190916033e-243,True
hsa-miR-6510-5p,4.2937,5.7882,-1.4945,1.2382059547643947e-243,123,5.486359718265001e-243,True
hsa-miR-7111-3p,3.8193,5.0172,-1.198,6.754817523739279e-243,124,2.9688512503531513e-242,True
hsa-miR-4747-3p,3.4462,4.9114,-1.4652,2.735701250062443e-242,125,1.1927657450272251e-241,True
hsa-miR-668-3p,3.3522,4.6651,-1.313,8.427069985485188e-241,126,3.64504217626145e-240,True
hsa-miR-4792,3.8961,5.2008,-1.3047,6.043434827288338e-240,127,2.5934425046237355e-239,True
hsa-miR-6785-5p,5.1145,6.886,-1.7715,1.140790740887241e-237,128,4.8572730764339557e-237,True
hsa-miR-328-3p,4.0776,5.0558,-0.9781,2.2211406645079938e-237,129,9.383888853929121e-237,True
hsa-miR-504-3p,3.5282,5.1662,-1.638,3.0441335977279346e-237,130,1.276194469816711e-236,True
hsa-miR-7155-5p,3.9088,5.1786,-1.2698,6.605954834394918e-236,131,2.7482789196528476e-235,True
hsa-miR-6771-5p,5.3453,7.2221,-1.8768,1.3709976868157144e-235,132,5.6605586311709415e-235,True
hsa-miR-4685-3p,3.3895,4.8621,-1.4727,6.260002919899672e-233,133,2.5651891664250536e-232,True
hsa-miR-4731-3p,3.8304,4.9885,-1.1582,6.330055333566471e-233,134,2.5745374304430797e-232,True
hsa-miR-4274,3.6263,4.9516,-1.3253,2.2935601573640018e-232,135,9.25918730195097e-232,True
hsa-miR-1234-3p,3.6444,4.8887,-1.2442,2.5668798647057092e-232,136,1.0286393575475086e-231,True
hsa-miR-3180,4.8113,6.8662,-2.0549,1.9261039873261864e-231,137,7.66223848972826e-231,True
hsa-miR-7845-5p,4.1543,5.7286,-1.5743,3.0991422593540464e-231,138,1.2239366169188084e-230,True
hsa-miR-937-5p,4.7113,6.3644,-1.6531,5.0536944815809625e-231,139,1.9814845269508093e-230,True
hsa-miR-6731-5p,3.2014,4.8068,-1.6055,8.562971886443618e-230,140,3.3334426272226944e-229,True
